_1998    _1999    india_states_uts    _1997    _1996    _1995    _1994    _1993    _1992    _1991    _1990    _2000    _2001    _2002    _2003    _2004    _2005    _2006    _2007    _2008    _2009    _1975    _1974    _1977    _1976    _1971    _1973    _1972    _1979    _1978    _1988    _1989    _1980    _1981    _1982    _1983    _1984    _1985    _1986    _1987    _2011    _2010    _2012_    
98    90    Madhya Pradesh    94    97    99    98    106    104    117    111    87    86    85    82    79    76    74    72    70    67    151    137    148    138    135    145    156    143    143    121    117    142    142    134    125    121    122    118    120    59    62    56    
49    48    Maharashtra    47    48    55    55    50    59    60    58    48    45    45    42    36    36    35    34    33    31    92    89    108    83    105    116    101    86    81    68    59    75    79    70    79    76    68    63    66    25    28    25    
98    97    Odisha    96    95    103    103    110    115    124    122    95    91    87    83    77    75    73    71    69    65    149    150    147    127    127    145    131    149    133    122    121    143    135    132    126    131    132    123    126    57    61    53    
54    53    Punjab    51    51    54    53    55    56    53    61    52    52    51    49    45    44    44    43    41    38    98    97    105    108    102    115    119    92    117    62    64    89    81    75    80    66    71    68    62    30    34    28    
83    81    Rajasthan    85    85    86    84    82    90    79    84    79    80    78    75    67    68    67    65    63    59    155    133    142    142    NA    137    123    108    140    103    96    105    108    97    109    122    108    107    102    52    55    49    
53    52    Tamil Nadu    53    53    54    59    56    58    57    59    51    49    44    43    41    37    37    35    31    28    112    106    103    110    113    108    121    100    105    74    68    93    91    83    87    78    81    80    76    22    24    21    
85    84    Uttar Pradesh    85    85    86    88    94    98    97    99    83    83    80    76    72    73    71    69    67    63    198    172    168    178    167    176    202    162    177    124    118    159    150    147    155    155    142    132    127    57    61    53    
53    52    West Bengal    55    55    58    62    58    65    71    63    51    51    49    46    40    38    38    37    35    33    NA    NA    NA    NA    NA    NA    NA    NA    NA    69    77    NA    91    86    84    82    74    71    71    32    31    32    
44    43    Arunachal Pradesh    47    NA    NA    NA    NA    NA    NA    NA    44    39    37    34    38    37    40    37    32    32    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    32    31    33    
36    31    Delhi    35    NA    NA    NA    NA    NA    NA    NA    32    29    30    28    32    35    37    36    35    33    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    28    30    25    
23    21    Goa    19    NA    NA    NA    NA    NA    NA    NA    23    19    17    16    17    16    15    13    10    11    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    11    10    10    
68    54    Himachal Pradesh    63    63    63    59    66    69    75    69    51    43    61    42    51    49    50    47    44    45    118    100    101    127    NA    85    NA    87    101    80    75    87    71    68    80    90    84    88    82    38    40    36    
45    52    Jammu & Kashmir    NA    NA    NA    NA    NA    NA    NA    70    50    48    45    45    49    50    52    51    49    45    68    76    62    68    NA    65    NA    76    73    71    66    72    72    68    71    78    85    81    71    41    43    39    
25    25    Manipur    30    NA    NA    NA    NA    NA    NA    NA    23    20    14    16    14    13    11    12    14    16    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    11    14    10    
52    56    Meghalaya    54    NA    NA    NA    NA    NA    NA    NA    58    56    61    57    54    49    53    56    58    59    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    52    55    49    
23    19    Mizoram    19    NA    NA    NA    NA    NA    NA    NA    21    19    14    16    19    20    25    23    37    36    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    34    37    35    
NA    NA    Nagaland    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    17    18    20    21    26    26    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    21    23    18    
52    49    Sikkim    51    NA    NA    NA    NA    NA    NA    NA    49    42    34    33    32    30    33    34    33    34    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    26    30    24    
49    42    Tripura    51    NA    NA    NA    NA    NA    NA    NA    41    39    34    32    32    31    36    39    34    31    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    29    27    28    
NA    52    Uttarakhand    NA    NA    NA    NA    NA    NA    NA    NA    50    48    41    41    42    42    43    48    44    41    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    36    38    34    
30    25    Andaman & Nicobar Islands    33    NA    NA    NA    NA    NA    NA    NA    23    18    15    18    19    27    31    34    31    27    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    23    25    24    
32    28    Chandigarh    40    NA    NA    NA    NA    NA    NA    NA    28    24    21    19    21    19    23    27    28    25    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    20    22    20    
61    56    Dadra and Nagar Haveli    63    NA    NA    NA    NA    NA    NA    NA    58    58    56    54    48    42    35    34    34    37    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    35    38    33    
51    35    Daman and Diu    38    NA    NA    NA    NA    NA    NA    NA    48    40    42    39    37    28    28    27    31    24    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    22    23    22    
26    32    Lakshadweep    36    NA    NA    NA    NA    NA    NA    NA    27    33    25    26    30    22    25    24    31    25    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    24    25    24    
21    22    Puducherry    22    NA    NA    NA    NA    NA    NA    NA    23    22    22    24    24    28    28    25    25    22    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    19    22    17    
